time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-26T04:09:45.039Z,69.6614,-144.5799,0,2.6,ml,,,,0.79,ak,ak20211514,2018-08-26T04:14:38.056Z,"64km SW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-08-26T03:54:03.860Z,-8.4622,116.9487,10,4.9,mb,,59,2.766,1.26,us,us1000ghfk,2018-08-26T04:14:58.040Z,"6km N of Labuhanmapin, Indonesia",earthquake,6.7,1.9,0.079,50,reviewed,us,us
2018-08-26T02:50:13.000Z,-18.1674,-178.0182,563.22,4.4,mb,,61,3.763,0.7,us,us1000ghfb,2018-08-26T03:22:52.040Z,"283km NNE of Ndoi Island, Fiji",earthquake,8.6,6.3,0.047,129,reviewed,us,us
2018-08-26T02:48:27.490Z,-17.9967,-177.8869,608.39,4.5,mb,,115,3.874,0.7,us,us1000ghff,2018-08-26T03:35:46.040Z,"Fiji region",earthquake,15.9,10.9,0.101,29,reviewed,us,us
2018-08-26T02:24:05.700Z,-18.0041,-178.233,546.69,4.3,mb,,80,3.546,0.87,us,us1000ghf5,2018-08-26T02:56:23.040Z,"296km N of Ndoi Island, Fiji",earthquake,12.8,7.6,0.043,156,reviewed,us,us
2018-08-26T02:14:19.382Z,61.9342,-149.9182,36,2.8,ml,,,,0.78,ak,ak20210266,2018-08-27T03:40:14.040Z,"23km S of Y, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-08-26T01:31:06.830Z,19.4345,-155.6173333,-0.29,2.5,ml,37,76,0.03304,0.11,hv,hv70563562,2018-08-27T23:47:01.970Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.22,0.43,0.121,21,reviewed,hv,hv
2018-08-26T01:01:38.768Z,69.6436,-144.2009,3.3,2.6,ml,,,,0.9,ak,ak20209068,2018-08-27T03:33:48.040Z,"58km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-08-26T00:53:53.370Z,34.6104,46.384,10,4.2,mb,,69,0.743,1.12,us,us1000ghek,2018-08-26T02:07:18.040Z,"23km SSW of Javanrud, Iran",earthquake,7,1.9,0.113,22,reviewed,us,us
2018-08-25T23:39:56.510Z,16.3797,-95.0317,10,4.3,mb,,160,2.781,1.11,us,us1000ghe0,2018-08-27T19:24:13.999Z,"6km SSW of Juchitan de Zaragoza, Mexico",earthquake,4.9,1.9,0.074,51,reviewed,us,us
2018-08-25T23:39:21.670Z,19.1588326,-155.5390015,-0.89,2.63,ml,39,128,0.07372,0.38,hv,hv70563442,2018-08-25T23:45:03.120Z,"8km SW of Pahala, Hawaii",earthquake,0.58,0.27,2.52,24,automatic,hv,hv
2018-08-25T23:25:06.250Z,34.6362,46.2405,10,4.4,mb,,118,0.642,0.71,us,us1000ghdx,2018-08-26T00:31:54.608Z,"30km SW of Javanrud, Iran",earthquake,6.9,1.9,0.083,42,reviewed,us,us
2018-08-25T23:21:07.421Z,69.5215,-144.063,0,3.5,ml,,,,0.67,ak,ak20206707,2018-08-26T14:58:01.040Z,"67km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-08-25T23:05:42.680Z,40.7466667,-124.9861667,25.79,2.57,md,28,241,0.5632,0.18,nc,nc73075800,2018-08-28T01:09:04.382Z,"64km WNW of Ferndale, CA",earthquake,1.08,31.61,0.166,21,reviewed,nc,nc
2018-08-25T22:52:05.200Z,19.3281667,-155.1423333,5.91,3.14,ml,33,213,0.05701,0.09,hv,hv70563337,2018-08-27T21:52:29.735Z,"15km SE of Volcano, Hawaii",earthquake,0.44,0.7,0.178,34,reviewed,hv,hv
2018-08-25T22:33:48.670Z,55.7513,-149.2491,8.31,4.9,mb,,142,2.681,0.76,us,us1000ghdd,2018-08-26T14:49:43.040Z,"297km SE of Kodiak, Alaska",earthquake,7.3,4.8,0.041,189,reviewed,us,us
2018-08-25T22:13:26.010Z,34.663,46.2774,10,6,mww,,32,0.644,1.13,us,us1000ghda,2018-08-26T14:41:12.040Z,"26km SW of Javanrud, Iran",earthquake,6.2,1.8,0.065,23,reviewed,us,us
2018-08-25T21:46:15.870Z,18.5041,-66.368,87,2.84,md,3,319,0.4169,0.35,pr,pr2018237007,2018-08-26T01:39:59.932Z,"4km NW of Brenas, Puerto Rico",earthquake,5.14,2.73,0.03,3,reviewed,pr,pr
2018-08-25T21:43:52.650Z,20.7325001,-155.9179993,2.16,2.7,md,33,322,,0.19,hv,hv70563247,2018-08-25T21:47:29.900Z,"8km ESE of Hana, Hawaii",earthquake,11.95,8.45,0.75,4,automatic,hv,hv
2018-08-25T21:16:28.521Z,69.6252,-144.7395,12,3.2,ml,,,,0.94,ak,ak20204270,2018-08-25T22:17:45.040Z,"69km SW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
